onset	duration	trial_type	value	sample
5.39453125	1.0	NonTarget	1	2762
6.26171875	1.0	NonTarget	1	3206
6.7109375	1.0	NonTarget	1	3436
6.9921875	1.0	Target	2	3580
7.791015625	1.0	NonTarget	1	3989
8.05859375	1.0	NonTarget	1	4126
8.57421875	1.0	NonTarget	1	4390
8.9921875	1.0	NonTarget	1	4604
9.208984375	1.0	Target	2	4715
9.458984375	1.0	NonTarget	1	4843
9.64453125	1.0	NonTarget	1	4938
9.92578125	1.0	NonTarget	1	5082
11.51171875	1.0	NonTarget	1	5894
12.375	1.0	NonTarget	1	6336
12.91015625	1.0	NonTarget	1	6610
13.15625	1.0	Target	2	6736
13.580078125	1.0	NonTarget	1	6953
13.923828125	1.0	NonTarget	1	7129
14.423828125	1.0	NonTarget	1	7385
15.009765625	1.0	NonTarget	1	7685
15.39453125	1.0	NonTarget	1	7882
15.607421875	1.0	NonTarget	1	7991
15.841796875	1.0	Target	2	8111
16.095703125	1.0	NonTarget	1	8241
17.4296875	1.0	NonTarget	1	8924
17.7734375	1.0	NonTarget	1	9100
18.021484375	1.0	NonTarget	1	9227
18.23046875	1.0	NonTarget	1	9334
18.5390625	1.0	NonTarget	1	9492
18.91015625	1.0	Target	2	9682
19.4765625	1.0	Target	2	9972
19.80859375	1.0	NonTarget	1	10142
20.0078125	1.0	NonTarget	1	10244
20.244140625	1.0	NonTarget	1	10365
20.443359375	1.0	NonTarget	1	10467
20.712890625	1.0	NonTarget	1	10605
30.07421875	1.0	Target	2	15398
30.548828125	1.0	NonTarget	1	15641
30.76171875	1.0	NonTarget	1	15750
31.15625	1.0	NonTarget	1	15952
31.58984375	1.0	NonTarget	1	16174
31.923828125	1.0	NonTarget	1	16345
32.439453125	1.0	NonTarget	1	16609
32.66015625	1.0	NonTarget	1	16722
32.939453125	1.0	NonTarget	1	16865
33.923828125	1.0	NonTarget	1	17369
34.16015625	1.0	Target	2	17490
34.640625	1.0	NonTarget	1	17736
35.990234375	1.0	NonTarget	1	18427
36.17578125	1.0	NonTarget	1	18522
36.423828125	1.0	Target	2	18649
37.076171875	1.0	NonTarget	1	18983
37.5390625	1.0	NonTarget	1	19220
37.908203125	1.0	NonTarget	1	19409
38.41015625	1.0	NonTarget	1	19666
38.921875	1.0	NonTarget	1	19928
39.17578125	1.0	NonTarget	1	20058
39.7109375	1.0	NonTarget	1	20332
39.90625	1.0	Target	2	20432
40.17578125	1.0	NonTarget	1	20570
41.494140625	1.0	Target	2	21245
41.857421875	1.0	NonTarget	1	21431
42.056640625	1.0	NonTarget	1	21533
42.759765625	1.0	NonTarget	1	21893
43.072265625	1.0	NonTarget	1	22053
43.373046875	1.0	NonTarget	1	22207
43.875	1.0	NonTarget	1	22464
44.306640625	1.0	NonTarget	1	22685
44.490234375	1.0	NonTarget	1	22779
45.275390625	1.0	Target	2	23181
45.58984375	1.0	NonTarget	1	23342
45.80859375	1.0	NonTarget	1	23454
47.173828125	1.0	NonTarget	1	24153
47.9765625	1.0	NonTarget	1	24564
48.7578125	1.0	Target	2	24964
49.005859375	1.0	NonTarget	1	25091
49.4765625	1.0	NonTarget	1	25332
49.658203125	1.0	NonTarget	1	25425
50.19140625	1.0	Target	2	25698
50.591796875	1.0	NonTarget	1	25903
50.921875	1.0	NonTarget	1	26072
51.240234375	1.0	NonTarget	1	26235
51.4375	1.0	NonTarget	1	26336
51.658203125	1.0	NonTarget	1	26449
61.01171875	1.0	NonTarget	1	31238
61.193359375	1.0	NonTarget	1	31331
61.560546875	1.0	NonTarget	1	31519
61.982421875	1.0	NonTarget	1	31735
62.609375	1.0	NonTarget	1	32056
63.16015625	1.0	Target	2	32338
63.716796875	1.0	NonTarget	1	32623
63.98046875	1.0	Target	2	32758
64.908203125	1.0	NonTarget	1	33233
65.109375	1.0	NonTarget	1	33336
65.32421875	1.0	NonTarget	1	33446
65.693359375	1.0	NonTarget	1	33635
75.078125	1.0	NonTarget	1	38440
75.291015625	1.0	NonTarget	1	38549
75.58984375	1.0	Target	2	38702
76.158203125	1.0	NonTarget	1	38993
77.27734375	1.0	NonTarget	1	39566
77.54296875	1.0	NonTarget	1	39702
78.072265625	1.0	NonTarget	1	39973
78.673828125	1.0	NonTarget	1	40281
78.892578125	1.0	Target	2	40393
79.109375	1.0	NonTarget	1	40504
79.326171875	1.0	NonTarget	1	40615
79.5390625	1.0	NonTarget	1	40724
80.845703125	1.0	NonTarget	1	41393
81.060546875	1.0	NonTarget	1	41503
81.509765625	1.0	Target	2	41733
81.728515625	1.0	NonTarget	1	41845
82.0234375	1.0	NonTarget	1	41996
82.54296875	1.0	NonTarget	1	42262
83.05859375	1.0	NonTarget	1	42526
83.490234375	1.0	NonTarget	1	42747
83.728515625	1.0	NonTarget	1	42869
84.123046875	1.0	NonTarget	1	43071
84.474609375	1.0	Target	2	43251
84.69140625	1.0	NonTarget	1	43362
94.060546875	1.0	NonTarget	1	48159
94.509765625	1.0	NonTarget	1	48389
95.158203125	1.0	Target	2	48721
95.505859375	1.0	NonTarget	1	48899
95.7578125	1.0	NonTarget	1	49028
95.978515625	1.0	NonTarget	1	49141
96.5078125	1.0	NonTarget	1	49412
96.857421875	1.0	NonTarget	1	49591
97.0390625	1.0	NonTarget	1	49684
97.390625	1.0	Target	2	49864
97.693359375	1.0	NonTarget	1	50019
97.908203125	1.0	NonTarget	1	50129
99.2421875	1.0	NonTarget	1	50812
99.875	1.0	Target	2	51136
100.107421875	1.0	NonTarget	1	51255
100.5078125	1.0	NonTarget	1	51460
100.841796875	1.0	NonTarget	1	51631
101.123046875	1.0	NonTarget	1	51775
101.646484375	1.0	NonTarget	1	52043
101.955078125	1.0	NonTarget	1	52201
102.822265625	1.0	NonTarget	1	52645
102.994140625	1.0	Target	2	52733
103.6796875	1.0	NonTarget	1	53084
104.255859375	1.0	NonTarget	1	53379
113.609375	1.0	Target	2	58168
114.041015625	1.0	NonTarget	1	58389
114.392578125	1.0	NonTarget	1	58569
114.572265625	1.0	NonTarget	1	58661
114.740234375	1.0	NonTarget	1	58747
115.16015625	1.0	NonTarget	1	58962
115.67578125	1.0	NonTarget	1	59226
116.0078125	1.0	NonTarget	1	59396
116.2734375	1.0	NonTarget	1	59532
116.92578125	1.0	NonTarget	1	59866
117.5625	1.0	Target	2	60192
117.810546875	1.0	NonTarget	1	60319
119.1796875	1.0	NonTarget	1	61020
120.025390625	1.0	NonTarget	1	61453
120.208984375	1.0	NonTarget	1	61547
120.57421875	1.0	NonTarget	1	61734
121.107421875	1.0	NonTarget	1	62007
